Date & Time,Home Team,Away Team,Home Score,Away Score,Home Set Scores,Away Set Scores
21.01. 10:00,Lube Civitanova,Monza,3,1,25 25 22 25,20 19 25 23
19.01. 13:30,Monza,Vibo Valentia,3,1,21 25 25 25,25 21 18 21
17.01. 12:30,Verona,Ravenna,0,3,23 23 22,25 25 25
17.01. 11:00,Perugia,Milano,3,1,25 23 25 25,18 25 16 21
17.01. 09:00,Padova,Piacenza,2,3,26 25 26 16 11,24 17 28 25 15
16.01. 11:00,Lube Civitanova,Modena,3,2,25 28 25 16 15,20 30 19 25 10
16.01. 10:00,Trentino,Cisterna,3,1,24 26 25 25,26 24 20 18
14.01. 12:00,Vibo Valentia,Milano,3,1,25 18 25 25,21 25 22 12
13.01. 12:00,Trentino,Padova,3,0,25 25 35,13 22 33
12.01. 11:00,Piacenza,Modena,0,3,33 15 22,35 25 25
10.01. 13:30,Ravenna,Perugia,0,3,21 21 22,25 25 25
10.01. 12:30,Milano,Lube Civitanova,2,3,21 32 25 22 10,25 30 23 25 15
10.01. 11:00,Trentino,Monza,3,2,25 20 25 20 15,16 25 17 25 13
10.01. 10:00,Cisterna,Verona,0,3,23 22 23,25 25 25
09.01. 11:30,Piacenza,Vibo Valentia,3,1,22 27 25 25,25 25 20 22
07.01. 12:00,Monza,Ravenna,3,1,25 25 22 25,20 16 25 22
06.01. 10:00,Trentino,Milano,3,0,25 25 25,18 17 15
05.01. 11:00,Lube Civitanova,Piacenza,3,1,25 22 25 25,19 25 20 19
03.01. 12:30,Verona,Milano,3,1,21 25 25 25,25 22 22 17
03.01. 11:00,Perugia,Trentino,1,3,20 25 19 21,25 23 25 25
03.01. 10:00,Vibo Valentia,Ravenna,3,0,25 25 25,21 21 22
03.01. 09:00,Monza,Cisterna,3,1,25 23 25 25,22 25 23 22
02.01. 11:00,Padova,Lube Civitanova,0,3,23 22 18,25 25 25
30.12. 11:00,Monza,Padova,3,2,23 25 21 25 15,25 23 25 11 13
30.12. 11:00,Ravenna,Trentino,1,3,20 25 13 19,25 18 25 25
28.12. 11:00,Verona,Vibo Valentia,3,1,21 25 25 25,25 19 14 22
27.12. 12:30,Cisterna,Perugia,0,3,14 19 21,25 25 25
27.12. 12:15,Modena,Trentino,1,3,18 27 25 22,25 29 23 25
23.12. 11:00,Perugia,Lube Civitanova,2,3,25 28 18 25 12,22 30 25 18 15
23.12. 10:00,Modena,Verona,3,1,25 28 25 25,19 30 23 19
20.12. 11:00,Trentino,Piacenza,3,0,25 25 25,16 21 17
20.12. 10:00,Cisterna,Ravenna,1,3,22 24 25 19,25 26 23 25
20.12. 10:00,Vibo Valentia,Padova,3,0,26 25 27,24 22 25
19.12. 11:15,Perugia,Verona,3,1,25 25 26 25,20 22 28 20
17.12. 11:00,Padova,Ravenna,1,3,24 25 25 22,26 27 22 25
16.12. 12:30,Verona,Piacenza,1,3,23 19 25 24,25 25 21 26
16.12. 12:00,Vibo Valentia,Cisterna,3,0,25 25 25,17 16 18
14.12. 12:00,Padova,Perugia,0,3,24 23 15,26 25 25
14.12. 08:00,Trentino,Lube Civitanova,3,0,25 25 25,22 23 22
13.12. 11:00,Piacenza,Cisterna,3,0,25 25 25,21 19 17
12.12. 11:30,Modena,Ravenna,3,0,25 25 25,21 15 12
09.12. 12:30,Trentino,Modena,3,0,26 25 25,24 22 20
09.12. 11:00,Ravenna,Verona,0,3,19 20 33,25 25 35
06.12. 12:00,Modena,Vibo Valentia,0,3,21 16 18,25 25 25
06.12. 11:00,Padova,Cisterna,3,1,25 20 25 27,18 25 16 25
06.12. 11:00,Verona,Trentino,2,3,25 26 22 20 10,23 24 25 25 15
06.12. 10:00,Perugia,Piacenza,3,0,25 25 25,20 19 21
05.12. 11:00,Ravenna,Lube Civitanova,2,3,25 25 21 20 8,21 23 25 25 15
04.12. 11:00,Milano,Monza,2,3,20 24 25 25 11,25 26 13 22 15
03.12. 13:00,Perugia,Modena,3,0,25 25 26,20 23 24
02.12. 11:00,Lube Civitanova,Cisterna,3,0,25 25 25,23 15 17
29.11. 11:00,Vibo Valentia,Perugia,1,3,23 29 17 22,25 27 25 25
29.11. 10:00,Cisterna,Milano,0,3,21 20 18,25 25 25
29.11. 09:00,Monza,Modena,3,1,25 21 25 25,14 25 13 22
28.11. 12:30,Piacenza,Ravenna,3,1,19 25 25 25,25 21 21 22
28.11. 11:00,Lube Civitanova,Verona,3,1,25 25 19 25,17 12 25 13
25.11. 13:30,Cisterna,Modena,2,3,19 25 27 22 7,25 19 25 25 15
25.11. 12:00,Trentino,Vibo Valentia,1,3,18 25 23 23,25 22 25 25
25.11. 11:00,Milano,Perugia,1,3,25 20 21 22,21 25 25 25
22.11. 12:30,Verona,Padova,1,3,21 27 23 33,25 25 25 35
22.11. 11:00,Monza,Perugia,3,0,25 25 25,20 21 22
21.11. 11:00,Milano,Piacenza,1,3,25 16 22 19,23 25 25 25
15.11. 10:00,Lube Civitanova,Vibo Valentia,1,3,23 25 20 23,25 18 25 25
14.11. 12:30,Piacenza,Monza,1,3,22 25 26 17,25 16 28 25
14.11. 11:15,Modena,Padova,3,0,25 25 30,23 17 28
07.11. 11:15,Padova,Milano,2,3,16 25 15 25 11,25 21 25 18 15
01.11. 11:00,Cisterna,Trentino,1,3,17 20 25 24,25 25 22 26
01.11. 11:00,Piacenza,Padova,3,1,16 25 25 25,25 20 19 22
01.11. 10:00,Vibo Valentia,Monza,3,1,25 18 25 25,19 25 22 22
31.10. 12:00,Modena,Lube Civitanova,0,3,24 22 23,26 25 25
25.10. 12:00,Lube Civitanova,Milano,3,0,25 26 25,20 24 22
25.10. 12:00,Monza,Trentino,3,2,25 21 19 25 15,21 25 25 16 13
25.10. 12:00,Padova,Modena,1,3,17 23 25 18,25 25 21 25
25.10. 12:00,Perugia,Ravenna,3,0,25 25 26,18 20 24
25.10. 12:00,Verona,Cisterna,3,2,25 26 25 24 15,19 28 23 26 11
24.10. 11:00,Vibo Valentia,Piacenza,1,3,19 20 25 19,25 25 23 25
18.10. 11:00,Cisterna,Monza,3,1,25 25 21 25,23 23 25 23
18.10. 11:00,Lube Civitanova,Padova,3,0,25 25 25,11 20 14
18.10. 11:00,Milano,Verona,3,1,15 25 27 25,25 19 25 22
18.10. 11:00,Modena,Piacenza,3,0,25 25 26,16 17 24
18.10. 11:00,Ravenna,Vibo Valentia,2,3,25 23 21 25 15,23 25 25 19 17
18.10. 11:00,Trentino,Perugia,1,3,25 22 17 25,17 25 25 27
14.10. 13:40,Perugia,Cisterna,3,0,25 25 25,23 21 20
14.10. 13:30,Milano,Ravenna,3,2,25 30 24 25 15,22 32 26 22 12
14.10. 13:30,Padova,Monza,2,3,28 25 12 24 14,26 15 25 26 16
14.10. 13:30,Piacenza,Lube Civitanova,1,3,29 21 25 23,31 25 20 25
14.10. 13:30,Vibo Valentia,Verona,3,2,25 23 20 25 15,22 25 25 17 11
11.10. 11:00,Modena,Milano,1,3,24 19 25 24,26 25 20 26
11.10. 11:00,Monza,Lube Civitanova,0,3,21 23 20,25 25 25
11.10. 11:00,Padova,Vibo Valentia,1,3,23 24 25 22,25 26 23 25
11.10. 11:00,Ravenna,Cisterna,3,0,25 25 25,22 21 21
11.10. 11:00,Verona,Perugia,0,3,22 22 23,25 25 25
11.10. 10:00,Piacenza,Trentino,0,3,22 13 21,25 25 25
08.10. 13:30,Ravenna,Modena,1,3,26 22 20 19,24 25 25 25
07.10. 13:30,Cisterna,Piacenza,1,3,25 21 22 21,22 25 25 25
07.10. 13:30,Lube Civitanova,Trentino,3,0,25 26 25,15 24 18
07.10. 13:30,Milano,Vibo Valentia,1,3,19 25 25 20,25 23 27 25
07.10. 13:30,Perugia,Padova,3,0,25 25 25,18 14 21
07.10. 13:30,Verona,Monza,3,1,25 22 25 25,21 25 16 23
04.10. 11:05,Cisterna,Padova,0,3,22 16 18,25 25 25
04.10. 11:00,Lube Civitanova,Ravenna,3,2,23 25 25 23 15,25 22 14 25 9
04.10. 11:00,Piacenza,Perugia,1,3,22 17 25 20,25 25 19 25
04.10. 11:00,Trentino,Verona,0,3,26 23 21,28 25 25
04.10. 11:00,Vibo Valentia,Modena,0,3,21 26 20,25 28 25
03.10. 11:00,Monza,Milano,1,3,22 25 19 20,25 21 25 25
30.09. 13:30,Perugia,Vibo Valentia,3,0,35 25 26,33 20 24
28.09. 13:30,Verona,Lube Civitanova,0,3,23 20 21,25 25 25
27.09. 11:00,Milano,Cisterna,3,0,25 26 25,20 24 20
27.09. 11:00,Modena,Monza,1,3,20 25 23 22,25 23 25 25
27.09. 11:00,Padova,Trentino,0,3,25 15 24,27 25 26
27.09. 11:00,Ravenna,Piacenza,1,3,20 25 23 19,25 20 25 25
