Date & Time,Home Team,Away Team,Home Score,Away Score,Home Set Scores,Away Set Scores
13.05. 13:45,Piacenza,Cisterna,3,1,25 25 26 25,23 19 28 20
11.05. 13:45,Lube Civitanova,Perugia,3,0,25 25 25,23 16 21
08.05. 11:00,Perugia,Lube Civitanova,3,1,24 25 25 26,26 19 18 24
07.05. 13:30,Cisterna,Monza,3,1,15 25 25 26,25 20 22 24
07.05. 13:30,Piacenza,Verona,3,1,25 25 19 25,22 11 25 19
04.05. 13:30,Lube Civitanova,Perugia,3,0,25 29 25,21 27 22
03.05. 13:30,Cisterna,Verona,2,3,24 25 22 25 17,26 16 25 20 19
03.05. 13:30,Milano,Piacenza,1,3,25 27 23 19,20 29 25 25
03.05. 07:30,Monza,Taranto,3,0,25 25 25,23 23 23
01.05. 11:00,Perugia,Lube Civitanova,2,3,17 28 25 17 13,25 26 20 25 15
30.04. 13:30,Piacenza,Verona,3,2,23 25 25 20 15,25 22 19 25 9
30.04. 12:00,Monza,Cisterna,0,3,16 16 13,25 25 25
30.04. 10:00,Taranto,Milano,0,3,17 23 23,25 25 25
27.04. 13:30,Lube Civitanova,Trentino,3,2,27 25 21 25 15,29 21 25 15 11
27.04. 13:30,Perugia,Modena,3,1,19 25 27 25,25 20 25 15
27.04. 13:30,Cisterna,Taranto,3,0,25 31 25,15 29 22
27.04. 13:30,Piacenza,Monza,3,0,25 25 25,17 20 23
27.04. 13:30,Verona,Milano,1,3,26 25 16 25,28 22 25 27
24.04. 11:00,Modena,Perugia,2,3,25 17 16 25 12,21 25 25 19 15
24.04. 11:00,Trentino,Lube Civitanova,1,3,19 29 22 22,25 27 25 25
24.04. 11:00,Milano,Cisterna,1,3,20 25 21 16,25 21 25 25
24.04. 09:30,Taranto,Piacenza,0,3,25 20 24,27 25 26
23.04. 11:00,Monza,Verona,3,1,25 17 25 25,23 25 13 16
21.04. 13:30,Lube Civitanova,Trentino,3,0,25 25 25,16 19 17
20.04. 13:30,Perugia,Modena,2,3,26 25 16 29 13,24 22 25 31 15
18.04. 11:00,Trentino,Lube Civitanova,3,0,25 25 25,20 21 23
17.04. 11:00,Modena,Perugia,1,3,23 25 21 21,25 22 25 25
17.04. 11:00,Piacenza,Cisterna,3,0,25 25 25,18 22 22
17.04. 11:00,Verona,Taranto,3,0,28 25 25,26 22 17
16.04. 13:30,Milano,Monza,1,3,25 23 23 18,13 25 25 25
14.04. 13:30,Lube Civitanova,Trentino,0,3,26 20 23,28 25 25
13.04. 13:30,Perugia,Modena,1,3,22 25 22 20,25 22 25 25
10.04. 11:30,Trentino,Piacenza,3,0,25 25 25,22 19 21
03.04. 11:00,Cisterna,Perugia,0,3,23 20 20,25 25 25
03.04. 11:00,Milano,Modena,2,3,25 14 25 18 13,17 25 22 25 15
03.04. 11:00,Piacenza,Trentino,3,2,21 29 25 25 24,25 31 19 20 22
02.04. 11:00,Monza,Lube Civitanova,1,3,26 25 17 23,28 19 25 25
27.03. 11:00,Lube Civitanova,Monza,3,0,27 25 25,25 16 17
27.03. 11:00,Modena,Milano,3,0,25 25 25,13 22 23
27.03. 11:00,Perugia,Cisterna,3,1,25 19 25 26,15 25 17 24
26.03. 14:30,Trentino,Piacenza,3,0,27 25 25,25 20 16
23.03. 14:30,Lube Civitanova,Milano,3,0,25 25 25,22 19 22
20.03. 12:00,Cisterna,Trentino,3,0,28 25 25,26 19 23
20.03. 12:00,Milano,Taranto,3,1,25 23 25 25,17 25 18 20
20.03. 12:00,Modena,Padova,3,1,33 25 23 25,31 19 25 22
20.03. 12:00,Perugia,Lube Civitanova,3,0,25 25 31,21 22 29
20.03. 12:00,Verona,Monza,3,1,22 25 25 27,25 19 18 25
20.03. 12:00,Vibo Valentia,Piacenza,0,3,29 23 20,31 25 25
13.03. 12:00,Padova,Vibo Valentia,3,1,22 25 25 25,25 22 21 22
13.03. 12:00,Ravenna,Cisterna,1,3,25 11 21 19,20 25 25 25
13.03. 12:00,Trentino,Milano,3,2,28 25 25 23 15,30 21 20 25 9
13.03. 11:00,Taranto,Modena,3,1,25 25 17 25,21 23 25 19
13.03. 10:00,Monza,Perugia,1,3,21 32 23 22,25 30 25 25
12.03. 11:00,Verona,Lube Civitanova,1,3,14 25 20 18,25 23 25 25
10.03. 13:00,Piacenza,Verona,3,0,25 25 25,19 23 20
09.03. 13:30,Modena,Ravenna,3,1,25 26 19 25,16 24 25 17
05.03. 13:30,Modena,Lube Civitanova,3,1,25 22 25 25,21 25 20 20
02.03. 13:30,Lube Civitanova,Cisterna,3,1,17 25 25 25,25 21 18 20
02.03. 13:30,Ravenna,Piacenza,1,3,24 26 22 20,26 24 25 25
02.03. 13:30,Trentino,Vibo Valentia,3,0,25 25 25,17 21 20
27.02. 13:30,Padova,Milano,0,3,18 20 22,25 25 25
27.02. 11:00,Piacenza,Trentino,1,3,25 15 17 14,23 25 25 25
27.02. 11:00,Taranto,Lube Civitanova,0,3,26 19 23,28 25 25
27.02. 08:00,Vibo Valentia,Perugia,0,3,25 21 23,27 25 25
26.02. 13:30,Modena,Cisterna,2,3,31 12 25 25 8,33 25 19 17 15
26.02. 11:00,Ravenna,Verona,1,3,21 15 26 20,25 25 24 25
23.02. 13:30,Perugia,Piacenza,3,1,25 19 29 25,18 25 27 20
22.02. 13:30,Padova,Trentino,1,3,25 16 25 21,27 25 20 25
20.02. 13:30,Milano,Ravenna,3,1,22 25 25 25,25 18 19 19
20.02. 13:30,Verona,Modena,1,3,21 25 30 21,25 27 28 25
20.02. 11:00,Perugia,Padova,3,1,19 25 25 25,25 22 22 13
20.02. 08:30,Taranto,Piacenza,3,1,25 25 25 25,19 23 27 22
19.02. 11:00,Monza,Vibo Valentia,0,3,23 23 21,25 25 25
17.02. 12:00,Milano,Modena,2,3,25 21 21 27 10,21 25 25 25 15
16.02. 12:30,Piacenza,Padova,3,0,25 25 25,20 17 19
