date_time,home_team,away_team,set_number,home_set_score,away_set_score,home_score,away_score
10.12. 11:00,Modena,Trentino,1,21,25,3,1
10.12. 11:00,Modena,Trentino,2,27,25,3,1
10.12. 11:00,Modena,Trentino,3,25,22,3,1
10.12. 11:00,Modena,Trentino,4,25,16,3,1
10.12. 09:30,Saturnia Acicastello,Monza,1,16,25,1,3
10.12. 09:30,Saturnia Acicastello,Monza,2,25,22,1,3
10.12. 09:30,Saturnia Acicastello,Monza,3,12,25,1,3
10.12. 09:30,Saturnia Acicastello,Monza,4,18,25,1,3
08.12. 13:30,Taranto,Piacenza,1,25,19,1,3
08.12. 13:30,Taranto,Piacenza,2,20,25,1,3
08.12. 13:30,Taranto,Piacenza,3,18,25,1,3
08.12. 13:30,Taranto,Piacenza,4,16,25,1,3
08.12. 11:00,Cisterna,Lube Civitanova,1,14,25,1,3
08.12. 11:00,Cisterna,Lube Civitanova,2,21,25,1,3
08.12. 11:00,Cisterna,Lube Civitanova,3,25,22,1,3
08.12. 11:00,Cisterna,Lube Civitanova,4,19,25,1,3
04.12. 13:00,Monza,Milano,1,16,25,0,3
04.12. 13:00,Monza,Milano,2,18,25,0,3
04.12. 13:00,Monza,Milano,3,18,25,0,3
03.12. 13:30,Piacenza,Verona,1,27,25,3,0
03.12. 13:30,Piacenza,Verona,2,25,23,3,0
03.12. 13:30,Piacenza,Verona,3,25,20,3,0
03.12. 11:00,Lube Civitanova,Trentino,1,17,25,0,3
03.12. 11:00,Lube Civitanova,Trentino,2,22,25,0,3
03.12. 11:00,Lube Civitanova,Trentino,3,16,25,0,3
03.12. 11:00,Padova,Saturnia Acicastello,1,25,18,3,1
03.12. 11:00,Padova,Saturnia Acicastello,2,18,25,3,1
03.12. 11:00,Padova,Saturnia Acicastello,3,25,19,3,1
03.12. 11:00,Padova,Saturnia Acicastello,4,25,18,3,1
02.12. 13:30,Perugia,Cisterna,1,25,16,3,1
02.12. 13:30,Perugia,Cisterna,2,25,19,3,1
02.12. 13:30,Perugia,Cisterna,3,20,25,3,1
02.12. 13:30,Perugia,Cisterna,4,25,23,3,1
02.12. 11:00,Taranto,Modena,1,22,25,2,3
02.12. 11:00,Taranto,Modena,2,25,20,2,3
02.12. 11:00,Taranto,Modena,3,25,18,2,3
02.12. 11:00,Taranto,Modena,4,17,25,2,3
02.12. 11:00,Taranto,Modena,5,13,15,2,3
26.11. 13:30,Monza,Piacenza,1,22,25,3,2
26.11. 13:30,Monza,Piacenza,2,25,21,3,2
26.11. 13:30,Monza,Piacenza,3,19,25,3,2
26.11. 13:30,Monza,Piacenza,4,25,20,3,2
26.11. 13:30,Monza,Piacenza,5,15,12,3,2
26.11. 13:00,Milano,Padova,1,25,17,3,0
26.11. 13:00,Milano,Padova,2,26,24,3,0
26.11. 13:00,Milano,Padova,3,25,19,3,0
26.11. 11:00,Lube Civitanova,Taranto,1,25,22,3,2
26.11. 11:00,Lube Civitanova,Taranto,2,22,25,3,2
26.11. 11:00,Lube Civitanova,Taranto,3,21,25,3,2
26.11. 11:00,Lube Civitanova,Taranto,4,25,22,3,2
26.11. 11:00,Lube Civitanova,Taranto,5,18,16,3,2
26.11. 11:00,Trentino,Saturnia Acicastello,1,25,15,3,0
26.11. 11:00,Trentino,Saturnia Acicastello,2,25,17,3,0
26.11. 11:00,Trentino,Saturnia Acicastello,3,25,18,3,0
26.11. 11:00,Verona,Perugia,1,18,25,0,3
26.11. 11:00,Verona,Perugia,2,20,25,0,3
26.11. 11:00,Verona,Perugia,3,22,25,0,3
25.11. 11:00,Cisterna,Modena,1,11,25,1,3
25.11. 11:00,Cisterna,Modena,2,25,22,1,3
25.11. 11:00,Cisterna,Modena,3,20,25,1,3
25.11. 11:00,Cisterna,Modena,4,16,25,1,3
22.11. 13:30,Perugia,Padova,1,25,16,3,0
22.11. 13:30,Perugia,Padova,2,25,22,3,0
22.11. 13:30,Perugia,Padova,3,25,21,3,0
19.11. 11:00,Cisterna,Taranto,1,25,27,3,2
19.11. 11:00,Cisterna,Taranto,2,20,25,3,2
19.11. 11:00,Cisterna,Taranto,3,25,18,3,2
19.11. 11:00,Cisterna,Taranto,4,25,13,3,2
19.11. 11:00,Cisterna,Taranto,5,17,15,3,2
19.11. 11:00,Saturnia Acicastello,Milano,1,25,20,1,3
19.11. 11:00,Saturnia Acicastello,Milano,2,22,25,1,3
19.11. 11:00,Saturnia Acicastello,Milano,3,22,25,1,3
19.11. 11:00,Saturnia Acicastello,Milano,4,21,25,1,3
19.11. 11:00,Trentino,Monza,1,19,25,3,1
19.11. 11:00,Trentino,Monza,2,25,22,3,1
19.11. 11:00,Trentino,Monza,3,25,23,3,1
19.11. 11:00,Trentino,Monza,4,25,23,3,1
19.11. 10:30,Perugia,Piacenza,1,21,25,3,2
19.11. 10:30,Perugia,Piacenza,2,20,25,3,2
19.11. 10:30,Perugia,Piacenza,3,25,18,3,2
19.11. 10:30,Perugia,Piacenza,4,26,24,3,2
19.11. 10:30,Perugia,Piacenza,5,20,18,3,2
19.11. 09:00,Modena,Lube Civitanova,1,20,25,0,3
19.11. 09:00,Modena,Lube Civitanova,2,19,25,0,3
19.11. 09:00,Modena,Lube Civitanova,3,20,25,0,3
18.11. 11:00,Padova,Verona,1,25,17,3,1
18.11. 11:00,Padova,Verona,2,13,25,3,1
18.11. 11:00,Padova,Verona,3,25,20,3,1
18.11. 11:00,Padova,Verona,4,25,23,3,1
15.11. 13:30,Lube Civitanova,Saturnia Acicastello,1,25,22,3,0
15.11. 13:30,Lube Civitanova,Saturnia Acicastello,2,25,19,3,0
15.11. 13:30,Lube Civitanova,Saturnia Acicastello,3,25,16,3,0
15.11. 13:30,Milano,Trentino,1,22,25,1,3
15.11. 13:30,Milano,Trentino,2,25,21,1,3
15.11. 13:30,Milano,Trentino,3,19,25,1,3
15.11. 13:30,Milano,Trentino,4,16,25,1,3
15.11. 13:30,Modena,Padova,1,23,25,3,1
15.11. 13:30,Modena,Padova,2,25,18,3,1
15.11. 13:30,Modena,Padova,3,27,25,3,1
15.11. 13:30,Modena,Padova,4,25,11,3,1
15.11. 13:30,Piacenza,Cisterna,1,25,13,3,1
15.11. 13:30,Piacenza,Cisterna,2,27,25,3,1
15.11. 13:30,Piacenza,Cisterna,3,23,25,3,1
15.11. 13:30,Piacenza,Cisterna,4,25,20,3,1
15.11. 11:00,Taranto,Perugia,1,20,25,1,3
15.11. 11:00,Taranto,Perugia,2,20,25,1,3
15.11. 11:00,Taranto,Perugia,3,25,20,1,3
15.11. 11:00,Taranto,Perugia,4,14,25,1,3
12.11. 13:00,Saturnia Acicastello,Verona,1,23,25,1,3
12.11. 13:00,Saturnia Acicastello,Verona,2,22,25,1,3
12.11. 13:00,Saturnia Acicastello,Verona,3,27,25,1,3
12.11. 13:00,Saturnia Acicastello,Verona,4,16,25,1,3
12.11. 11:00,Milano,Lube Civitanova,1,25,21,3,0
12.11. 11:00,Milano,Lube Civitanova,2,27,25,3,0
12.11. 11:00,Milano,Lube Civitanova,3,25,21,3,0
12.11. 11:00,Perugia,Modena,1,14,25,3,1
12.11. 11:00,Perugia,Modena,2,25,18,3,1
12.11. 11:00,Perugia,Modena,3,25,20,3,1
12.11. 11:00,Perugia,Modena,4,25,18,3,1
12.11. 10:00,Monza,Taranto,1,25,14,3,0
12.11. 10:00,Monza,Taranto,2,25,10,3,0
12.11. 10:00,Monza,Taranto,3,25,17,3,0
12.11. 09:00,Padova,Cisterna,1,25,23,3,2
12.11. 09:00,Padova,Cisterna,2,25,21,3,2
12.11. 09:00,Padova,Cisterna,3,23,25,3,2
12.11. 09:00,Padova,Cisterna,4,23,25,3,2
12.11. 09:00,Padova,Cisterna,5,15,12,3,2
11.11. 13:30,Trentino,Piacenza,1,26,24,3,1
11.11. 13:30,Trentino,Piacenza,2,25,19,3,1
11.11. 13:30,Trentino,Piacenza,3,16,25,3,1
11.11. 13:30,Trentino,Piacenza,4,25,18,3,1
08.11. 13:30,Verona,Monza,1,20,25,1,3
08.11. 13:30,Verona,Monza,2,25,23,1,3
08.11. 13:30,Verona,Monza,3,22,25,1,3
08.11. 13:30,Verona,Monza,4,20,25,1,3
05.11. 12:30,Verona,Trentino,1,18,25,0,3
05.11. 12:30,Verona,Trentino,2,17,25,0,3
05.11. 12:30,Verona,Trentino,3,15,25,0,3
05.11. 11:30,Lube Civitanova,Perugia,1,20,25,3,2
05.11. 11:30,Lube Civitanova,Perugia,2,35,33,3,2
05.11. 11:30,Lube Civitanova,Perugia,3,25,21,3,2
05.11. 11:30,Lube Civitanova,Perugia,4,16,25,3,2
05.11. 11:30,Lube Civitanova,Perugia,5,22,20,3,2
05.11. 11:00,Modena,Monza,1,19,25,0,3
05.11. 11:00,Modena,Monza,2,19,25,0,3
05.11. 11:00,Modena,Monza,3,19,25,0,3
05.11. 10:00,Taranto,Padova,1,22,25,2,3
05.11. 10:00,Taranto,Padova,2,25,15,2,3
05.11. 10:00,Taranto,Padova,3,25,20,2,3
05.11. 10:00,Taranto,Padova,4,18,25,2,3
05.11. 10:00,Taranto,Padova,5,16,18,2,3
05.11. 09:00,Piacenza,Saturnia Acicastello,1,25,17,3,0
05.11. 09:00,Piacenza,Saturnia Acicastello,2,33,31,3,0
05.11. 09:00,Piacenza,Saturnia Acicastello,3,25,17,3,0
04.11. 12:00,Cisterna,Milano,1,25,14,3,0
04.11. 12:00,Cisterna,Milano,2,25,15,3,0
04.11. 12:00,Cisterna,Milano,3,25,23,3,0
29.10. 15:00,Saturnia Acicastello,Cisterna,1,22,25,3,1
29.10. 15:00,Saturnia Acicastello,Cisterna,2,26,24,3,1
29.10. 15:00,Saturnia Acicastello,Cisterna,3,26,24,3,1
29.10. 15:00,Saturnia Acicastello,Cisterna,4,25,14,3,1
29.10. 13:30,Monza,Perugia,1,23,25,0,3
29.10. 13:30,Monza,Perugia,2,30,32,0,3
29.10. 13:30,Monza,Perugia,3,22,25,0,3
29.10. 10:30,Milano,Piacenza,1,23,25,0,3
29.10. 10:30,Milano,Piacenza,2,21,25,0,3
29.10. 10:30,Milano,Piacenza,3,23,25,0,3
29.10. 09:00,Padova,Lube Civitanova,1,22,25,0,3
29.10. 09:00,Padova,Lube Civitanova,2,20,25,0,3
29.10. 09:00,Padova,Lube Civitanova,3,21,25,0,3
28.10. 13:30,Trentino,Taranto,1,25,16,3,2
28.10. 13:30,Trentino,Taranto,2,23,25,3,2
28.10. 13:30,Trentino,Taranto,3,18,25,3,2
28.10. 13:30,Trentino,Taranto,4,26,24,3,2
28.10. 13:30,Trentino,Taranto,5,15,8,3,2
28.10. 11:00,Verona,Modena,1,25,23,2,3
28.10. 11:00,Verona,Modena,2,25,17,2,3
28.10. 11:00,Verona,Modena,3,20,25,2,3
28.10. 11:00,Verona,Modena,4,23,25,2,3
28.10. 11:00,Verona,Modena,5,11,15,2,3
22.10. 13:00,Perugia,Saturnia Acicastello,1,25,15,3,0
22.10. 13:00,Perugia,Saturnia Acicastello,2,25,18,3,0
22.10. 13:00,Perugia,Saturnia Acicastello,3,25,22,3,0
22.10. 11:00,Cisterna,Trentino,1,18,25,2,3
22.10. 11:00,Cisterna,Trentino,2,25,15,2,3
22.10. 11:00,Cisterna,Trentino,3,28,26,2,3
22.10. 11:00,Cisterna,Trentino,4,17,25,2,3
22.10. 11:00,Cisterna,Trentino,5,8,15,2,3
22.10. 11:00,Lube Civitanova,Monza,1,23,25,0,3
22.10. 11:00,Lube Civitanova,Monza,2,21,25,0,3
22.10. 11:00,Lube Civitanova,Monza,3,22,25,0,3
22.10. 11:00,Piacenza,Padova,1,25,21,3,0
22.10. 11:00,Piacenza,Padova,2,25,19,3,0
22.10. 11:00,Piacenza,Padova,3,25,16,3,0
22.10. 09:00,Taranto,Verona,1,22,25,1,3
22.10. 09:00,Taranto,Verona,2,22,25,1,3
22.10. 09:00,Taranto,Verona,3,28,26,1,3
22.10. 09:00,Taranto,Verona,4,16,25,1,3
22.10. 08:45,Modena,Milano,1,25,19,3,2
22.10. 08:45,Modena,Milano,2,12,25,3,2
22.10. 08:45,Modena,Milano,3,21,25,3,2
22.10. 08:45,Modena,Milano,4,26,24,3,2
22.10. 08:45,Modena,Milano,5,15,12,3,2
